year_round,country_code,value,over,fill,color,n,world,world_text,title,map_col,map_row
1962,SGP,1.683341706,FALSE,1.683341706,NA,7,2,0K,1962 7,20,9
1962,SLB,0.1155538065,FALSE,0.1155538065,NA,7,2,0K,1962 7,22,9
1962,SLE,0.1462673545,FALSE,0.1462673545,NA,7,2,0K,1962 7,8,9
1962,SLV,0.297481776,FALSE,0.297481776,NA,7,2,0K,1962 7,1,9
1962,SOM,0.035982704000000004,FALSE,0.035982704000000004,NA,7,2,0K,1962 7,16,8
1962,STP,0.142507922,FALSE,0.142507922,NA,7,2,0K,1962 7,11,6
1962,SUR,1.6532895435000001,FALSE,1.6532895435000001,NA,7,2,0K,1962 7,5,6
1962,SWE,7.0347315455,FALSE,7.0347315455,NA,7,2,0K,1962 7,12,25
1962,SYC,0.162342837,FALSE,0.162342837,NA,7,2,0K,1962 7,NA,NA
1962,SYR,0.687399088,FALSE,0.687399088,NA,7,2,0K,1962 7,15,15
1962,TCD,0.02790915,FALSE,0.02790915,NA,7,2,0K,1962 7,12,12
1962,TGO,0.0598702755,FALSE,0.0598702755,NA,7,2,0K,1962 7,11,8
1962,THA,0.1795031775,FALSE,0.1795031775,NA,7,2,0K,1962 7,20,12
1962,TON,0.16272675250000002,FALSE,0.16272675250000002,NA,7,2,0K,1962 7,23,5
1962,TTO,4.8461096755,FALSE,4.8461096755,NA,7,2,0K,1962 7,4,7
1962,TUN,0.43118216249999997,FALSE,0.43118216249999997,NA,7,2,0K,1962 7,11,14
1962,TUR,0.7589411285000001,FALSE,0.7589411285000001,NA,7,2,0K,1962 7,14,16
1962,TZA,0.0723509055,FALSE,0.0723509055,NA,7,2,0K,1962 7,15,5
1962,UGA,0.0585245525,FALSE,0.0585245525,NA,7,2,0K,1962 7,14,7
1962,URY,1.589970969,FALSE,1.589970969,NA,7,2,0K,1962 7,4,2
1962,USA,16.248349825,TRUE,10,black,7,2,0K,1962 7,2,19
1962,VCT,0.15324330000000003,FALSE,0.15324330000000003,NA,7,2,0K,1962 7,5,8
1962,VEN,6.155401973,FALSE,6.155401973,NA,7,2,0K,1962 7,3,6
1962,VGB,0.43788776100000004,FALSE,0.43788776100000004,NA,7,2,0K,1962 7,NA,NA
1962,VNM,0.262396833,FALSE,0.262396833,NA,7,2,0K,1962 7,20,14
1962,VUT,0.533292418,FALSE,0.533292418,NA,7,2,0K,1962 7,22,7
1962,WSM,0.1711864805,FALSE,0.1711864805,NA,7,2,0K,1962 7,23,6
1962,YEM,0.631136299,FALSE,0.631136299,NA,7,2,0K,1962 7,16,10
1962,ZAF,5.7794381349999995,FALSE,5.7794381349999995,NA,7,2,0K,1962 7,12,1
